primaryTitle,startYear,genres,averageRating,numVotes
11.22.63,2016.0,"Drama,Mystery,Romance",8.0,117416
Married... with Children,1987.0,Comedy,8.1,117063
Billions,2016.0,Drama,8.3,117005
The Undoing,2020.0,"Crime,Drama,Mystery",7.4,115921
The Idol,2023.0,"Drama,Music",4.4,115703
Oz,1997.0,"Crime,Drama,Thriller",8.7,115572
My Name Is Earl,2005.0,Comedy,7.8,115477
Russian Doll,2019.0,"Comedy,Drama,Mystery",7.7,115359
Panchayat,2020.0,"Comedy,Drama",9.0,115322
My Hero Academia,2016.0,"Action,Adventure,Animation",8.2,114430
Designated Survivor,2016.0,"Action,Drama,Mystery",7.4,114160
DC's Legends of Tomorrow,2016.0,"Action,Adventure,Drama",6.7,114030
Tulsa King,2022.0,"Action,Crime,Drama",7.9,114025
The Outsider,2020.0,"Crime,Drama,Horror",7.6,113628
2 Broke Girls,2011.0,Comedy,6.7,112916
Yellowjackets,2021.0,"Drama,Mystery,Thriller",7.7,112795
Atypical,2017.0,"Comedy,Drama",8.2,112676
Normal People,2020.0,"Drama,Romance",8.4,112534
Lost in Space,2018.0,"Adventure,Drama,Family",7.3,112158
Misfits,2009.0,"Comedy,Drama,Fantasy",8.1,112129
Shrinking,2023.0,"Comedy,Drama",8.1,111470
Pluribus,2025.0,"Drama,Sci-Fi",8.0,111126
The Family Man,2019.0,"Action,Comedy,Crime",8.7,111034
Fawlty Towers,1975.0,Comedy,8.8,110482
See,2019.0,"Action,Drama,Sci-Fi",7.6,109496
Dead to Me,2019.0,"Comedy,Crime,Drama",7.9,108976
Halo,2022.0,"Action,Adventure,Sci-Fi",7.3,108891
The Orville,2017.0,"Adventure,Comedy,Sci-Fi",8.0,107799
Making a Murderer,2015.0,"Crime,Documentary",8.5,107592
The Twilight Zone,1959.0,"Drama,Fantasy,Horror",9.0,107277
Stargate SG-1,1997.0,"Action,Adventure,Drama",8.4,107226
Neon Genesis Evangelion,1995.0,"Action,Animation,Drama",8.5,106428
Locke & Key,2020.0,"Drama,Fantasy,Horror",7.3,106307
Ginny & Georgia,2021.0,"Comedy,Drama",7.5,105043
Dept. Q,2025.0,"Crime,Drama,Mystery",8.1,104979
Last Week Tonight with John Oliver,2014.0,"Comedy,News,Talk-Show",8.8,104527
MobLand,2025.0,"Crime,Drama",8.3,104169
Outer Banks,2020.0,"Action,Crime,Drama",7.5,103754
Leyla and Mecnun,2011.0,"Adventure,Comedy,Drama",9.0,103323
Legion,2017.0,"Action,Sci-Fi,Thriller",8.1,102792
The O.C.,2003.0,"Comedy,Drama,Romance",7.6,102650
Manifest,2018.0,"Drama,Mystery,Sci-Fi",7.0,102579
Solo Leveling,2024.0,"Action,Adventure,Animation",8.5,102297
Frasier,1993.0,Comedy,8.2,102021
Pride and Prejudice,1995.0,"Drama,Romance",8.8,102000
American Crime Story,2016.0,"Biography,Crime,Drama",8.4,101977
Dragon Ball Z,1989.0,"Action,Adventure,Animation",8.8,101972
The Pitt,2025.0,Drama,8.9,101586
Bob's Burgers,2011.0,"Animation,Comedy",8.2,101172
Monk,2002.0,"Comedy,Crime,Drama",8.1,100811
Blue Eye Samurai,2023.0,"Action,Adventure,Animation",8.7,100643
Star Trek: Picard,2020.0,"Action,Adventure,Drama",7.5,100473
Narcos: Mexico,2018.0,"Biography,Crime,Drama",8.3,100403
Elite,2018.0,"Crime,Drama,Thriller",7.1,100232
The Inbetweeners,2008.0,Comedy,8.4,99988
Code Geass,2006.0,"Action,Animation,Drama",8.7,99794
Star Trek,1966.0,"Action,Adventure,Drama",8.4,99650
Skins,2007.0,Drama,8.2,99431
Ray Donovan,2013.0,"Crime,Drama",8.3,98819
Unorthodox,2020.0,Drama,8.0,98229
Charmed,1998.0,"Drama,Fantasy,Mystery",7.2,97946
The West Wing,1999.0,Drama,8.9,97916
American Gods,2017.0,"Drama,Fantasy,Mystery",7.6,97639
1923,2022.0,"Drama,Western",8.3,97339
Big Mouth,2017.0,"Animation,Comedy,Romance",7.8,97334
Atlanta,2016.0,"Comedy,Drama,Music",8.6,97314
Sacred Games,2018.0,"Action,Crime,Drama",8.5,97119
Alien: Earth,2025.0,"Horror,Sci-Fi,Thriller",7.1,96503
Falling Skies,2011.0,"Action,Adventure,Drama",7.1,96395
The Shield,2002.0,"Crime,Drama,Thriller",8.7,96284
Bosch,2014.0,"Crime,Drama",8.5,96206
The Following,2013.0,"Crime,Drama,Horror",7.4,95387
The Diplomat,2023.0,"Drama,Thriller",8.0,94853
Chainsaw Man,2022.0,"Action,Animation,Comedy",8.3,94674
Agent Carter,2015.0,"Action,Adventure,Crime",7.8,94002
The Grand Tour,2016.0,"Adventure,Comedy,Sport",8.7,93703
The King of Queens,1998.0,Comedy,7.4,93692
CSI: Crime Scene Investigation,2000.0,"Crime,Drama,Mystery",7.7,93447
His Dark Materials,2019.0,"Adventure,Drama,Fantasy",7.7,93334
One Tree Hill,2003.0,"Drama,Romance,Sport",7.8,93221
Castlevania,2017.0,"Action,Adventure,Animation",8.3,93097
Never Have I Ever,2020.0,"Comedy,Drama",7.8,92793
Merlin,2008.0,"Adventure,Drama,Fantasy",7.9,92623
The Strain,2014.0,"Drama,Fantasy,Horror",7.3,92492
Mirzapur,2018.0,"Action,Crime,Thriller",8.4,92326
Maniac,2018.0,"Comedy,Drama,Sci-Fi",7.6,92234
Raised by Wolves,2020.0,"Drama,Fantasy,Sci-Fi",7.4,92234
Presumed Innocent,2024.0,"Crime,Drama,Mystery",7.7,92103
Landman,2024.0,Drama,8.2,91918
The Watcher,2022.0,"Drama,Horror,Mystery",6.5,91752
Heartstopper,2022.0,"Drama,Romance",8.5,91466
Kota Factory,2019.0,"Comedy,Drama",9.0,91136
When the Phone Rings,2024.0,"Drama,Mystery,Romance",5.9,91087
Dopesick,2021.0,Drama,8.6,90784
Tiger King,2020.0,"Biography,Crime,Documentary",7.5,90444
Behind Her Eyes,2021.0,"Drama,Mystery,Thriller",7.2,90411
The Peripheral,2022.0,"Drama,Mystery,Sci-Fi",7.5,89993
Godless,2017.0,"Action,Drama,Western",8.2,89831
Steins;Gate,2011.0,"Animation,Comedy,Drama",8.8,89699
Inventing Anna,2022.0,Drama,6.9,89370
Upload,2020.0,"Comedy,Mystery,Sci-Fi",7.8,89241
Bleach,2004.0,"Action,Adventure,Animation",8.2,88784
Secret Invasion,2023.0,"Action,Adventure,Mystery",5.8,88778
The Good Wife,2009.0,"Crime,Drama,Mystery",8.3,88538
Terra Nova,2011.0,"Adventure,Drama,Mystery",6.7,88457
Carnival Row,2019.0,"Crime,Drama,Fantasy",7.7,87845
Revolution,2012.0,"Action,Adventure,Drama",6.6,87825
Twin Peaks,2017.0,"Crime,Drama,Horror",8.5,87731
The Lincoln Lawyer,2022.0,"Crime,Drama,Mystery",7.8,87569
Queen Cleopatra,2023.0,"Documentary,Drama,History",1.2,87460
IT: Welcome to Derry,2025.0,"Fantasy,Horror",8.0,87368
All of Us Are Dead,2022.0,"Action,Drama,Fantasy",7.6,87342
Over the Garden Wall,2014.0,"Adventure,Animation,Comedy",8.7,87057
Monty Python's Flying Circus,1969.0,Comedy,8.8,86701
Preacher,2016.0,"Adventure,Comedy,Fantasy",7.9,86397
The Tudors,2007.0,"Drama,History,Romance",8.1,86347
Agatha All Along,2024.0,"Action,Adventure,Comedy",7.2,86246
Hijack,2023.0,"Drama,Thriller",7.4,85899
Blindspot,2015.0,"Action,Crime,Drama",7.3,85187
Fullmetal Alchemist,2003.0,"Action,Adventure,Animation",8.5,85083
Daredevil: Born Again,2025.0,"Action,Crime,Drama",8.1,85079
Louie,2010.0,"Comedy,Drama",8.5,84991
Resident Alien,2021.0,"Comedy,Drama,Mystery",8.0,84969
Ash vs Evil Dead,2015.0,"Action,Comedy,Horror",8.4,84364
Battlestar Galactica,2003.0,"Action,Adventure,Drama",8.5,84340
Lioness,2023.0,"Action,Drama,Thriller",7.8,84042
For All Mankind,2019.0,"Drama,Sci-Fi",8.1,83768
Scandal,2012.0,"Drama,Thriller",7.7,83694
Marco Polo,2014.0,"Action,Adventure,Drama",7.9,83578
The Bridge,2011.0,"Crime,Mystery,Thriller",8.6,83535
Star Trek: Voyager,1995.0,"Action,Adventure,Drama",7.9,83232
Avatar: The Last Airbender,2024.0,"Action,Adventure,Comedy",7.2,83147
Clarkson's Farm,2021.0,"Comedy,Documentary,Reality-TV",9.0,83144
Unbreakable Kimmy Schmidt,2015.0,Comedy,7.5,82864
American Primeval,2025.0,"Action,Drama,Thriller",8.0,82752
Santa Clarita Diet,2017.0,"Comedy,Horror",7.8,82443
Burn Notice,2007.0,"Action,Crime,Drama",8.0,82392
Girls,2012.0,"Comedy,Drama",7.4,82383
Hawaii Five-0,2010.0,"Action,Adventure,Comedy",7.4,82328
Superstore,2015.0,Comedy,7.9,82265
Everybody Loves Raymond,1996.0,Comedy,7.3,82249
Veronica Mars,2004.0,"Crime,Drama,Mystery",8.3,81819
I Am Not Okay with This,2020.0,"Comedy,Drama,Fantasy",7.5,81654
Velma,2023.0,"Adventure,Animation,Comedy",1.6,81178
